Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
R10202319,0,0,0,0,0,0,0,0,0
R10202309,0,0,0,0,0,0,0,0,0
R30032742,0,0,0,0,0,0,0,0,0
R30031742,0,0,0,0,0,0,0,0,0
R30012152,0,0,0,0,0,0,0,0,0
R30037744,0,0,0,0,0,0,0,0,0
R30037742,0,0,0,0,0,0,0,0,0
R30037732,0,1,0,1,0,0,0,0,2
R48914713,0,1,0,1,0,0,0,0,2
R10202209,0,0,0,0,0,0,0,0,0
R10201739,0,0,0,0,0,0,0,0,0
R48915903,0,1,0,1,0,0,0,0,2
R48912163,0,0,0,0,0,0,0,0,0
R48912773,0,1,0,1,0,0,0,0,2
R48913163,0,0,0,0,0,0,0,0,0
R48913903,0,1,0,1,0,0,0,0,2
R27073712,0,0,0,0,0,0,0,0,0
R30029942,0,0,0,0,0,0,0,0,0
R30029932,0,0,0,0,0,0,0,0,0
R27086172,0,0,0,0,0,0,0,0,0
R27115012,0,0,0,0,0,0,0,0,0
R27108112,0,0,0,0,0,0,0,0,0
R27107172,0,0,0,1,0,0,0,0,1
R32022152,0,0,0,0,0,0,0,0,0
R48913403,0,1,0,1,0,0,0,0,2
R48912403,0,1,0,1,0,0,0,0,2
R27086752,0,0,0,0,0,0,0,0,0
R27073752,0,0,0,0,0,0,0,0,0
R12065303,0,0,0,0,0,0,0,0,0
R12064263,0,0,0,0,0,0,0,0,0
R12161733,0,0,0,0,0,0,0,0,0
R32155303,0,1,0,0,0,0,0,0,1
R32154208,0,0,0,0,0,0,0,0,0
R32153208,0,0,0,0,0,0,0,0,0
R12999153,0,1,0,0,0,0,0,0,1
R13578902,0,1,0,0,0,0,0,0,1
R13723172,0,1,0,0,0,0,0,0,1
R13796152,0,1,0,0,0,0,0,0,1
R18682703,0,1,0,0,0,0,0,0,1
R18683203,0,1,0,0,0,0,0,0,1
R20591102,0,1,0,0,0,0,0,0,1
R20692102,0,1,0,0,0,0,0,0,1
R22860712,0,1,0,0,0,0,0,0,1
R22862152,0,1,0,0,0,0,0,0,1
R27655172,0,1,0,0,0,0,0,0,1
R27655752,0,1,0,0,0,0,0,0,1
R27695712,0,1,0,0,0,0,0,0,1
R48748273,0,1,0,0,0,0,0,0,1
R48749223,0,1,0,0,0,0,0,0,1
R48753113,0,1,0,0,0,0,0,0,1
